seq_id	species	label
JF909189	EACMV	EACMV
JF909190	EACMV	EACMV
JF909191	EACMV	EACMV
JF909192	EACMV	EACMV
JF909193	EACMV	EACMV
JF909194	EACMV	EACMV
JF909195	EACMV	EACMV
JF909196	EACMV	EACMV
JF909198	EACMV	EACMV
JN941177	EACMV	EACMV
JX658692	EACMV	EACMV
JX910240	EACMV	EACMV
KJ887964	EACMV	EACMV
KT869123	EACMV	EACMV
KT869124	EACMV	EACMV
KT869125	EACMV	EACMV
KT869126	EACMV	EACMV
LC832863	EACMV	EACMV
MF067253	EACMV	EACMV
MF067254	EACMV	EACMV
MF067255	EACMV	EACMV
MF067256	EACMV	EACMV
MF067257	EACMV	EACMV
MF067258	EACMV	EACMV
MF067259	EACMV	EACMV
MF067260	EACMV	EACMV
MF067261	EACMV	EACMV
MF067262	EACMV	EACMV
MF067263	EACMV	EACMV
MF067264	EACMV	EACMV
MF067265	EACMV	EACMV
MG250161	EACMV	EACMV
MG250162	EACMV	EACMV
MG250163	EACMV	EACMV
MK059411	EACMV	EACMV
MK059412	EACMV	EACMV
MK059413	EACMV	EACMV
MT821897	EACMV	EACMV
MT821898	EACMV	EACMV
MT821899	EACMV	EACMV
MT821900	EACMV	EACMV
MT821901	EACMV	EACMV
MT821902	EACMV	EACMV
MT821903	EACMV	EACMV
MZ494482	EACMV	EACMV
MZ494483	EACMV	EACMV
MZ494484	EACMV	EACMV
MZ494486	EACMV	EACMV
MZ494487	EACMV	EACMV
MZ570970	EACMV	EACMV
MZ595264	EACMV	EACMV
NC004674	EACMV	EACMV
NC038877	EACMV	EACMV
OL444942	EACMV	EACMV
PV524653	EACMV	EACMV
PV524654	EACMV	EACMV
Z83256	EACMV	EACMV
AF126804	EACMV	EACMV
AF126806	EACMV	EACMV
AJ618956	EACMV	EACMV
AJ618957	EACMV	EACMV
AJ618958	EACMV	EACMV
AJ618959	EACMV	EACMV
AJ717516	EACMV	EACMV
AJ717517	EACMV	EACMV
AJ717518	EACMV	EACMV
AJ717519	EACMV	EACMV
AJ717520	EACMV	EACMV
AJ717521	EACMV	EACMV
AJ717522	EACMV	EACMV
AJ717523	EACMV	EACMV
AJ717524	EACMV	EACMV
AJ717525	EACMV	EACMV
AJ717526	EACMV	EACMV
AJ717527	EACMV	EACMV
AJ717528	EACMV	EACMV
AJ717529	EACMV	EACMV
AJ717530	EACMV	EACMV
AJ717531	EACMV	EACMV
AJ717532	EACMV	EACMV
AJ717533	EACMV	EACMV
AJ717534	EACMV	EACMV
AJ717535	EACMV	EACMV
AM502326	EACMV	EACMV
AM502327	EACMV	EACMV
AM502328	EACMV	EACMV
AM502329	EACMV	EACMV
AM502330	EACMV	EACMV
AM502331	EACMV	EACMV
AM502332	EACMV	EACMV
AM502333	EACMV	EACMV
AM502334	EACMV	EACMV
AM502335	EACMV	EACMV
AM502336	EACMV	EACMV
AM502337	EACMV	EACMV
AY795988	EACMV	EACMV
FM877474	EACMV	EACMV
FN668377	EACMV	EACMV
HE814063	EACMV	EACMV
HE814064	EACMV	EACMV
HE979769	EACMV	EACMV
HE979770	EACMV	EACMV
HE979771	EACMV	EACMV
HE979772	EACMV	EACMV
HE979773	EACMV	EACMV
HE979774	EACMV	EACMV
HE979775	EACMV	EACMV
JN053432	EACMV	EACMV
JN053433	EACMV	EACMV
JN053434	EACMV	EACMV
JN053435	EACMV	EACMV
JN053436	EACMV	EACMV
JN053437	EACMV	EACMV
JN053438	EACMV	EACMV
JN053439	EACMV	EACMV
JN053440	EACMV	EACMV
JN053441	EACMV	EACMV
JN053442	EACMV	EACMV
JN053443	EACMV	EACMV
JN053444	EACMV	EACMV
JN053445	EACMV	EACMV
JN053446	EACMV	EACMV
JN053447	EACMV	EACMV
JN053448	EACMV	EACMV
JN053449	EACMV	EACMV
JN053450	EACMV	EACMV
JN053451	EACMV	EACMV
JN053452	EACMV	EACMV
JN053453	EACMV	EACMV
JN053454	EACMV	EACMV
JN053455	EACMV	EACMV
JN053456	EACMV	EACMV
JN053457	EACMV	EACMV
JN053458	EACMV	EACMV
JN053459	EACMV	EACMV
KT780440	EACMV	EACMV
LC832866	EACMV	EACMV
MF974568	EACMV	EACMV
MK059414	EACMV	EACMV
MK059415	EACMV	EACMV
MK059416	EACMV	EACMV
MK059417	EACMV	EACMV
MK059418	EACMV	EACMV
Z83257	EACMV	EACMV
AF112353	ACMV	ACMV
AF259895	ACMV	ACMV
AJ427911	ACMV	ACMV
AY211886	ACMV	ACMV
FN668379	ACMV	ACMV
HE979781	ACMV	ACMV
HE979782	ACMV	ACMV
HE979783	ACMV	ACMV
HE979784	ACMV	ACMV
HE979785	ACMV	ACMV
HE979786	ACMV	ACMV
HE979787	ACMV	ACMV
HE979788	ACMV	ACMV
HE979789	ACMV	ACMV
HE979790	ACMV	ACMV
HE979791	ACMV	ACMV
HE979792	ACMV	ACMV
HE979793	ACMV	ACMV
HE979794	ACMV	ACMV
HE979795	ACMV	ACMV
HE979796	ACMV	ACMV
HG530117	ACMV	ACMV
HG530118	ACMV	ACMV
HG530119	ACMV	ACMV
HG530120	ACMV	ACMV
HG530121	ACMV	ACMV
HG530122	ACMV	ACMV
J02058	ACMV	ACMV
JN165086	ACMV	ACMV
KJ887582	ACMV	ACMV
KJ887583	ACMV	ACMV
KJ887584	ACMV	ACMV
KJ887585	ACMV	ACMV
KJ887586	ACMV	ACMV
KJ887587	ACMV	ACMV
KJ887588	ACMV	ACMV
KJ887589	ACMV	ACMV
KJ887590	ACMV	ACMV
KJ887591	ACMV	ACMV
KJ887592	ACMV	ACMV
KJ887593	ACMV	ACMV
KJ887594	ACMV	ACMV
KJ887595	ACMV	ACMV
KJ887596	ACMV	ACMV
KJ887597	ACMV	ACMV
KJ887598	ACMV	ACMV
KJ887599	ACMV	ACMV
KJ887600	ACMV	ACMV
KJ887601	ACMV	ACMV
KJ887602	ACMV	ACMV
KJ887603	ACMV	ACMV
KJ887604	ACMV	ACMV
KJ887605	ACMV	ACMV
KJ887606	ACMV	ACMV
KJ887607	ACMV	ACMV
KJ887608	ACMV	ACMV
KJ887609	ACMV	ACMV
KJ887610	ACMV	ACMV
KJ887611	ACMV	ACMV
KJ887612	ACMV	ACMV
KJ887613	ACMV	ACMV
KJ887614	ACMV	ACMV
KJ887615	ACMV	ACMV
KJ887616	ACMV	ACMV
